StuduentID;ModuleCode;AcYear;Mark;Grade;Age;Gender;Status;CourseCode;Course Name;Level of Study;;;Row Labels;Count of Attendance(Status);Percentage
00001480;MED3007-N;2018/9;80;A;21;M;P;MZSNG;BA (Hons) Media Studies;BA;;;AA;88;1,32%
00001480;MED3020-N;2018/9;82;A;21;M;P;MZSNG;BA (Hons) Media Studies;BA;;;ABS;2270;33,94%
00002367;COM3067-N;2018/9;80;A;22;M;P;CSNSNG;BSc (Hons) Cybersecurity and Networks;BS;;;CC;43;0,64%
00002370;CAM4057-N;2018/9;76;A;19;M;P;FUAPRD;MA Fine Art;MA;;;NM;80;1,20%
00000009;GAV4017-N;2018/9;75;A;19;F;P;CMA;MA Concept Art;MA;;;P;4040;60,40%
00000010;MED3055-N;2018/9;66;B;18;M;P;JOUSNG;BA (Hons) Journalism;BA;;;PDG;99;1,48%
00000019;GAV2011-N;2018/9;60;B;54;M;P;GMSNG;BA (Hons) Computer Games Design;BA;;;PRM;8;0,12%
00000021;COM3037-N;2018/9;14;F;42;M;ABS;CSSNG;BSc (Hons) Computer Science;BS;;;PROJ;12;0,18%
00000137;CIS2018-N;2018/9;76;A;42;F;P;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;PWR;49;0,73%
00000137;CIS2026-N;2018/9;96;A;42;F;P;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;Grand Total;6689;
00000556;GAV2025-N;2018/9;38;F;48;F;P;ZDFSNG;BA (Hons) Computer Games Art (with Foundation Year);BA;;;;;
00002369;CAM4017-N;2018/9;62;B;20;F;P;FUAPRD;MA Fine Art;MA;;;Attendance;Percentage;
00002372;CAM1030-N;2018/9;62;B;22;M;P;MDCBA;BA (Hons) Media and Communications;BA;;;AA;1,3%;
00002372;CAM1035-N;2018/9;70;A;22;M;P;MDCBA;BA (Hons) Media and Communications;BA;;;ABS;33,9%;
00000001;VIS3108-N;2018/9;67;B;19;F;PDG;CVEFSNG;BA (Hons) Computer Animation and Visual Effects (with Foundation Year);BA;;;CC;0,6%;
